ticket_id,created_at,resolved_at,channel,agent_id,category,priority,status,subject,body,resolution_note,word_count,product,company,language,region,severity,tags,root_cause,knowledge_article,customer_satisfaction,conversation
TK-000679,2026-03-15 09:46:30,2026-03-18 09:46:30,social_media,AGT-018,technical,high,closed,Login page returns 500 error,Uploads above 39MB fail with a timeout error. We regularly upload large datasets.,Integration token expired silently after update. Guided customer to re-authenticate. Sync restored.,13,Cloud Dashboard,Intel,Arabic,USA,Major,technical,Software bug or infrastructure issue,"Restart service, collect logs, investigate server health, deploy hotfix if required.",5.0,"Customer: Uploads above 39MB fail with a timeout error. We regularly upload large datasets.
Support: Integration token expired silently after update. Guided customer to re-authenticate. Sync restored."
TK-000595,2026-06-06 14:30:09,2026-06-08 15:30:09,chat,AGT-001,technical,high,closed,Login page returns 500 error,The app crashes every time I open it since the update on 2026-05-30. I am on Ubuntu 22.04 version 1.6.19. Error log: ERR-SjCM-8479.,Identified a bug in v3.4.11 causing crashes on macOS 14. Hotfix deployed. Customer asked to update.,23,Web Platform,Dell,Arabic,UAE,Major,technical,Software bug or infrastructure issue,"Restart service, collect logs, investigate server health, deploy hotfix if required.",4.0,"Customer: The app crashes every time I open it since the update on 2026-05-30. I am on Ubuntu 22.04 version 1.6.19. Error log: ERR-SjCM-8479.
Support: Identified a bug in v3.4.11 causing crashes on macOS 14. Hotfix deployed. Customer asked to update."
TK-000489,2026-02-24 17:29:25,,email,AGT-014,account,medium,in_progress,Change primary account owner,I uploaded a new profile photo but the old one keeps showing even after clearing cache.,,16,Mobile App,Dell,Arabic,Egypt,Critical,account,Authentication failure,"Verify customer identity, reset credentials, unlock account.",,"Customer: I uploaded a new profile photo but the old one keeps showing even after clearing cache.
Support: Issue is under investigation."
TK-000251,2026-02-27 08:21:40,2026-03-01 16:21:40,phone_callback,AGT-009,technical,low,closed,API rate limit exceeded unexpectedly,OTP for 2FA is not arriving via SMS or email. Tested with multiple numbers. Account: austinmonica@example.org.,Increased upload size limit for account plan. Customer confirmed large files uploading correctly.,16,Web Platform,Oracle,English,Germany,Major,technical,Software bug or infrastructure issue,"Restart service, collect logs, investigate server health, deploy hotfix if required.",3.0,"Customer: OTP for 2FA is not arriving via SMS or email. Tested with multiple numbers. Account: austinmonica@example.org.
Support: Increased upload size limit for account plan. Customer confirmed large files uploading correctly."
TK-000263,2026-05-02 05:01:50,2026-05-02 06:01:50,phone_callback,AGT-007,technical,high,resolved,Login page returns 500 error,Our API key is hitting rate limits even though we are well within the documented quota. Account ID: 6751.,Identified a bug in v2.1.10 causing crashes on macOS 14. Hotfix deployed. Customer asked to update.,19,Web Platform,Microsoft,Arabic,UK,Minor,technical,Software bug or infrastructure issue,"Restart service, collect logs, investigate server health, deploy hotfix if required.",3.0,"Customer: Our API key is hitting rate limits even though we are well within the documented quota. Account ID: 6751.
Support: Identified a bug in v2.1.10 causing crashes on macOS 14. Hotfix deployed. Customer asked to update."
TK-000720,2026-05-18 06:08:51,2026-05-18 08:08:51,phone_callback,AGT-018,technical,low,closed,API rate limit exceeded unexpectedly,The dashboard takes over 51 seconds to load. This is affecting our team's productivity.,OTP delivery issue traced to SMS provider outage. Switched to backup provider. OTP now working.,14,CRM System,IBM,English,UAE,Major,technical,Software bug or infrastructure issue,"Restart service, collect logs, investigate server health, deploy hotfix if required.",5.0,"Customer: The dashboard takes over 51 seconds to load. This is affecting our team's productivity.
Support: OTP delivery issue traced to SMS provider outage. Switched to backup provider. OTP now working."
TK-000836,2026-02-27 09:41:19,2026-02-27 20:41:19,chat,AGT-003,account,high,resolved,Request to merge two accounts,I uploaded a new profile photo but the old one keeps showing even after clearing cache.,Found invite in spam filter configuration list. Whitelisted domain. Resent invite successfully.,16,Payment API,Dell,English,USA,Critical,account,Authentication failure,"Verify customer identity, reset credentials, unlock account.",4.0,"Customer: I uploaded a new profile photo but the old one keeps showing even after clearing cache.
Support: Found invite in spam filter configuration list. Whitelisted domain. Resent invite successfully."
TK-000988,2026-03-17 17:06:57,,phone_callback,AGT-010,account,medium,in_progress,Cannot reset my password,I need to change my account email from gillwilliam@example.org to a new address. Please advise the process.,,17,Web Platform,Cisco,Arabic,UAE,Critical,account,Authentication failure,"Verify customer identity, reset credentials, unlock account.",,"Customer: I need to change my account email from gillwilliam@example.org to a new address. Please advise the process.
Support: Issue is under investigation."
TK-000748,2026-03-03 05:17:04,2026-03-04 13:17:04,social_media,AGT-014,shipping,high,closed,Order shipped to wrong address,The tracking for order #71006 has been stuck on 'Out for Delivery' for 5 days with no updates.,Tracking system glitch identified. Actual package in transit. Customer updated with real ETA.,18,Cloud Dashboard,Amazon,English,UAE,Critical,shipping,Courier delay,"Track shipment, contact courier, arrange replacement if necessary.",4.0,"Customer: The tracking for order #71006 has been stuck on 'Out for Delivery' for 5 days with no updates.
Support: Tracking system glitch identified. Actual package in transit. Customer updated with real ETA."
TK-000618,2026-03-20 03:14:09,2026-03-21 06:14:09,phone_callback,AGT-005,technical,high,resolved,Dashboard loading very slowly,"Since the v3.9.13 update, our Shopify integration no longer syncs data. Last successful sync: 2026-06-09.",Found misconfiguration in rate-limit tier for this account. Corrected and documented.,15,Payment API,Dell,English,UK,Minor,technical,Software bug or infrastructure issue,"Restart service, collect logs, investigate server health, deploy hotfix if required.",4.0,"Customer: Since the v3.9.13 update, our Shopify integration no longer syncs data. Last successful sync: 2026-06-09.
Support: Found misconfiguration in rate-limit tier for this account. Corrected and documented."
TK-000293,2026-02-28 23:11:15,2026-03-03 00:11:15,social_media,AGT-018,shipping,low,closed,Request to change delivery address,My order #77751 was supposed to arrive 10 days ago but I still haven't received it. Tracking: TK-992551.,Address updated in system before dispatch. Customer confirmed new address is correct.,18,Cloud Dashboard,Intel,Arabic,UK,Critical,shipping,Courier delay,"Track shipment, contact courier, arrange replacement if necessary.",4.0,"Customer: My order #77751 was supposed to arrive 10 days ago but I still haven't received it. Tracking: TK-992551.
Support: Address updated in system before dispatch. Customer confirmed new address is correct."
TK-000040,2026-04-15 17:56:43,2026-04-17 03:56:43,email,AGT-018,shipping,low,resolved,Package arrived damaged,My order was delivered to an old address even though I updated my address before placing the order.,Wrong item confirmed. Correct item reshipped with priority delivery. Return label sent for wrong item.,18,Desktop Client,Intel,Arabic,USA,Minor,shipping,Courier delay,"Track shipment, contact courier, arrange replacement if necessary.",5.0,"Customer: My order was delivered to an old address even though I updated my address before placing the order.
Support: Wrong item confirmed. Correct item reshipped with priority delivery. Return label sent for wrong item."
TK-000014,2026-01-09 02:03:14,2026-01-11 19:03:14,social_media,AGT-018,technical,medium,resolved,Application crashes on startup,"Since the v3.9.19 update, our Zapier integration no longer syncs data. Last successful sync: 2026-05-12.",Fixed CSV export encoding issue in backend. Customer re-ran export successfully.,15,Web Platform,IBM,English,Egypt,Major,technical,Software bug or infrastructure issue,"Restart service, collect logs, investigate server health, deploy hotfix if required.",5.0,"Customer: Since the v3.9.19 update, our Zapier integration no longer syncs data. Last successful sync: 2026-05-12.
Support: Fixed CSV export encoding issue in backend. Customer re-ran export successfully."
TK-000588,2026-04-10 16:50:02,2026-04-10 18:50:02,social_media,AGT-019,shipping,medium,closed,Return shipment not picked up,My order was delivered to an old address even though I updated my address before placing the order.,Tracking system glitch identified. Actual package in transit. Customer updated with real ETA.,18,Payment API,Microsoft,Arabic,Saudi Arabia,Major,shipping,Courier delay,"Track shipment, contact courier, arrange replacement if necessary.",4.0,"Customer: My order was delivered to an old address even though I updated my address before placing the order.
Support: Tracking system glitch identified. Actual package in transit. Customer updated with real ETA."
TK-000696,2026-01-01 20:27:22,2026-01-02 20:27:22,social_media,AGT-020,shipping,low,resolved,Order shipped to wrong address,I scheduled a return pickup 29 days ago but the courier never showed up.,Damage claim filed with carrier. Replacement order created and shipped. Photo evidence retained.,14,CRM System,IBM,Arabic,UK,Critical,shipping,Courier delay,"Track shipment, contact courier, arrange replacement if necessary.",4.0,"Customer: I scheduled a return pickup 29 days ago but the courier never showed up.
Support: Damage claim filed with carrier. Replacement order created and shipped. Photo evidence retained."
TK-000798,2026-05-16 13:09:06,2026-05-17 19:09:06,social_media,AGT-008,general,low,closed,Looking for a case study or demo,I came across your service online and want to know more about what you offer before signing up.,Sent DPA and GDPR compliance documentation. Offered to connect with our DPO.,18,Cloud Dashboard,Microsoft,English,USA,Minor,general,Customer information request,Answer customer inquiry using the official knowledge base.,3.0,"Customer: I came across your service online and want to know more about what you offer before signing up.
Support: Sent DPA and GDPR compliance documentation. Offered to connect with our DPO."
TK-000929,2026-05-17 13:28:06,2026-05-19 07:28:06,web_form,AGT-008,product,medium,resolved,Suggestion to improve audit logs,I'm trying to decide between Pro and Teams. What are the key differences for a team of 32839 people?,Enhancement suggestion logged for next sprint review. Customer thanked for feedback.,19,Web Platform,Oracle,English,Egypt,Minor,product,Missing documentation,Provide product documentation and user guide.,5.0,"Customer: I'm trying to decide between Pro and Teams. What are the key differences for a team of 32839 people?
Support: Enhancement suggestion logged for next sprint review. Customer thanked for feedback."
TK-000767,2026-04-18 13:16:59,2026-04-19 12:16:59,web_form,AGT-020,account,medium,resolved,Change primary account owner,I sent a team invite to michaelmurphy@example.org 6 days ago but they say they never received it.,Checked email delivery logs – reset email was going to spam folder. Resent and advised customer.,17,Cloud Dashboard,Dell,English,Egypt,Major,account,Authentication failure,"Verify customer identity, reset credentials, unlock account.",5.0,"Customer: I sent a team invite to michaelmurphy@example.org 6 days ago but they say they never received it.
Support: Checked email delivery logs – reset email was going to spam folder. Resent and advised customer."
TK-000958,2026-06-07 22:09:36,,chat,AGT-005,account,low,open,Request to merge two accounts,I have two accounts (justin81@example.org and another) that I want to merge. Please guide me.,,15,Desktop Client,IBM,Arabic,Egypt,Critical,account,Authentication failure,"Verify customer identity, reset credentials, unlock account.",,"Customer: I have two accounts (justin81@example.org and another) that I want to merge. Please guide me.
Support: Issue is under investigation."
TK-000894,2026-06-01 15:45:33,2026-06-02 20:45:33,web_form,AGT-017,product,low,resolved,Compatibility question about Salesforce,I can access bulk export on the web but it doesn't seem to exist in the mobile app. Any plans to add it?,Feature request logged and passed to the product team. Customer subscribed to feature updates.,23,Mobile App,Cisco,Arabic,Germany,Critical,product,Missing documentation,Provide product documentation and user guide.,4.0,"Customer: I can access bulk export on the web but it doesn't seem to exist in the mobile app. Any plans to add it?
Support: Feature request logged and passed to the product team. Customer subscribed to feature updates."
TK-000482,2026-04-08 00:08:54,2026-04-09 07:08:54,chat,AGT-004,billing,medium,resolved,Double billing issue,I cancelled my subscription on 2026-05-30 but was still charged $392.5 for the next cycle.,Subscription cancellation confirmed. Refund processed for the extra billing cycle.,15,Mobile App,IBM,Arabic,UAE,Minor,billing,Incorrect billing configuration,"Verify invoice, compare billing history, process refund if needed.",3.0,"Customer: I cancelled my subscription on 2026-05-30 but was still charged $392.5 for the next cycle.
Support: Subscription cancellation confirmed. Refund processed for the extra billing cycle."
TK-000860,2026-04-27 19:27:04,,chat,AGT-011,shipping,medium,in_progress,Order shipped to wrong address,I received a completely wrong item. I ordered Programmable non-volatile parallelism but received something else entirely. Order #28081.,,18,Desktop Client,Dell,English,UAE,Critical,shipping,Courier delay,"Track shipment, contact courier, arrange replacement if necessary.",,"Customer: I received a completely wrong item. I ordered Programmable non-volatile parallelism but received something else entirely. Order #28081.
Support: Issue is under investigation."
TK-000634,2026-03-29 08:35:35,2026-03-31 01:35:35,web_form,AGT-006,billing,low,resolved,Billing address update not reflected,I upgraded my plan but the old price is still showing on invoice #88838. The new rate should be $183.31/month.,Verified the charge discrepancy. Issued a credit of $410.63 to the account. Customer notified.,20,Cloud Dashboard,Dell,English,Germany,Critical,billing,Incorrect billing configuration,"Verify invoice, compare billing history, process refund if needed.",3.0,"Customer: I upgraded my plan but the old price is still showing on invoice #88838. The new rate should be $183.31/month.
Support: Verified the charge discrepancy. Issued a credit of $410.63 to the account. Customer notified."
TK-000400,2026-01-11 09:51:09,,web_form,AGT-005,account,medium,escalated,Need to update email address on file,I uploaded a new profile photo but the old one keeps showing even after clearing cache.,,16,Payment API,Oracle,English,Egypt,Minor,account,Authentication failure,"Verify customer identity, reset credentials, unlock account.",,"Customer: I uploaded a new profile photo but the old one keeps showing even after clearing cache.
Support: Issue is under investigation."
TK-000917,2026-03-18 21:04:35,2026-03-21 17:04:35,social_media,AGT-014,shipping,high,resolved,Missing item from multi-item order,My order #22446 was supposed to arrive 6 days ago but I still haven't received it. Tracking: TK-223128.,Missing item located in warehouse. Shipped separately with tracking. Customer confirmed receipt.,18,CRM System,Intel,Arabic,Germany,Critical,shipping,Courier delay,"Track shipment, contact courier, arrange replacement if necessary.",3.0,"Customer: My order #22446 was supposed to arrive 6 days ago but I still haven't received it. Tracking: TK-223128.
Support: Missing item located in warehouse. Shipped separately with tracking. Customer confirmed receipt."
TK-000036,2026-01-09 09:57:36,,web_form,AGT-006,shipping,high,in_progress,Request to change delivery address,The tracking for order #19322 has been stuck on 'In Transit' for 5 days with no updates.,,17,CRM System,Amazon,Arabic,Germany,Critical,shipping,Courier delay,"Track shipment, contact courier, arrange replacement if necessary.",,"Customer: The tracking for order #19322 has been stuck on 'In Transit' for 5 days with no updates.
Support: Issue is under investigation."
TK-000852,2026-04-17 17:15:12,2026-04-20 04:15:12,web_form,AGT-013,billing,medium,resolved,Discount code not applied to my bill,I cancelled my subscription on 2026-06-04 but was still charged $259.37 for the next cycle.,Confirmed duplicate charge. Refund of $77.48 initiated and will reflect in 3–5 business days.,15,Mobile App,Oracle,Arabic,UK,Critical,billing,Incorrect billing configuration,"Verify invoice, compare billing history, process refund if needed.",5.0,"Customer: I cancelled my subscription on 2026-06-04 but was still charged $259.37 for the next cycle.
Support: Confirmed duplicate charge. Refund of $77.48 initiated and will reflect in 3–5 business days."
TK-000221,2026-05-15 01:55:58,2026-05-15 07:55:58,web_form,AGT-003,general,medium,resolved,Is my data GDPR compliant?,We have a team of 93751 users. Can you provide custom/enterprise pricing?,Shared WCAG 2.1 AA compliance documentation. Offered accessibility audit report.,12,Payment API,Dell,English,UK,Critical,general,Customer information request,Answer customer inquiry using the official knowledge base.,3.0,"Customer: We have a team of 93751 users. Can you provide custom/enterprise pricing?
Support: Shared WCAG 2.1 AA compliance documentation. Offered accessibility audit report."
TK-000865,2026-05-06 06:02:53,2026-05-08 05:02:53,email,AGT-014,billing,high,resolved,Billing address update not reflected,I upgraded my plan but the old price is still showing on invoice #23739. The new rate should be $12.06/month.,Updated invoice to reflect correct pricing. Sent amended invoice to customer.,20,Payment API,Intel,English,Germany,Major,billing,Incorrect billing configuration,"Verify invoice, compare billing history, process refund if needed.",5.0,"Customer: I upgraded my plan but the old price is still showing on invoice #23739. The new rate should be $12.06/month.
Support: Updated invoice to reflect correct pricing. Sent amended invoice to customer."
TK-000601,2026-01-20 10:15:26,,web_form,AGT-019,billing,high,in_progress,Double billing issue,I cancelled my subscription on 2026-04-28 but was still charged $444.98 for the next cycle.,,15,Desktop Client,Google,Arabic,Germany,Critical,billing,Incorrect billing configuration,"Verify invoice, compare billing history, process refund if needed.",,"Customer: I cancelled my subscription on 2026-04-28 but was still charged $444.98 for the next cycle.
Support: Issue is under investigation."
TK-000818,2026-04-27 22:12:11,,email,AGT-015,billing,medium,in_progress,Tax exemption certificate not processed,I requested a refund 11 days ago (ticket ref TK-055701) but have not received it yet. Please expedite.,,18,Mobile App,Google,English,UK,Minor,billing,Incorrect billing configuration,"Verify invoice, compare billing history, process refund if needed.",,"Customer: I requested a refund 11 days ago (ticket ref TK-055701) but have not received it yet. Please expedite.
Support: Issue is under investigation."
TK-000544,2026-06-25 15:47:17,2026-06-26 12:47:17,web_form,AGT-004,billing,medium,closed,Double billing issue,I upgraded my plan but the old price is still showing on invoice #25332. The new rate should be $277.95/month.,Verified the charge discrepancy. Issued a credit of $55.2 to the account. Customer notified.,20,Web Platform,Amazon,English,Saudi Arabia,Major,billing,Incorrect billing configuration,"Verify invoice, compare billing history, process refund if needed.",3.0,"Customer: I upgraded my plan but the old price is still showing on invoice #25332. The new rate should be $277.95/month.
Support: Verified the charge discrepancy. Issued a credit of $55.2 to the account. Customer notified."
TK-000081,2026-03-12 21:53:20,2026-03-14 13:53:20,chat,AGT-007,shipping,medium,resolved,Order #12413 not delivered after 21 days,My order was delivered to an old address even though I updated my address before placing the order.,Damage claim filed with carrier. Replacement order created and shipped. Photo evidence retained.,18,Payment API,Dell,Arabic,UK,Major,shipping,Courier delay,"Track shipment, contact courier, arrange replacement if necessary.",4.0,"Customer: My order was delivered to an old address even though I updated my address before placing the order.
Support: Damage claim filed with carrier. Replacement order created and shipped. Photo evidence retained."
TK-000340,2026-06-18 22:16:14,2026-06-20 13:16:14,chat,AGT-016,technical,medium,resolved,Dashboard loading very slowly,I get a 500 Internal Server Error when trying to log in. This started 12 days ago. Browser: Chrome 124.,Identified slow query in dashboard aggregation. Added index. Load time reduced to under 2s.,20,Mobile App,Dell,English,Egypt,Critical,technical,Software bug or infrastructure issue,"Restart service, collect logs, investigate server health, deploy hotfix if required.",4.0,"Customer: I get a 500 Internal Server Error when trying to log in. This started 12 days ago. Browser: Chrome 124.
Support: Identified slow query in dashboard aggregation. Added index. Load time reduced to under 2s."
TK-000204,2026-04-12 16:23:34,,social_media,AGT-019,billing,medium,in_progress,Incorrect charge on my invoice,My account shows two identical charges of $135.47 on the same date. I need a refund for the duplicate.,,19,CRM System,Cisco,English,Germany,Critical,billing,Incorrect billing configuration,"Verify invoice, compare billing history, process refund if needed.",,"Customer: My account shows two identical charges of $135.47 on the same date. I need a refund for the duplicate.
Support: Issue is under investigation."
TK-000478,2026-01-25 14:33:28,,phone_callback,AGT-011,shipping,high,open,Missing item from multi-item order,I received a completely wrong item. I ordered Up-sized stable artificial intelligence but received something else entirely. Order #33174.,,19,Cloud Dashboard,Google,Arabic,Germany,Major,shipping,Courier delay,"Track shipment, contact courier, arrange replacement if necessary.",,"Customer: I received a completely wrong item. I ordered Up-sized stable artificial intelligence but received something else entirely. Order #33174.
Support: Issue is under investigation."
TK-000766,2026-05-14 09:55:00,2026-05-15 21:55:00,email,AGT-009,general,low,resolved,Looking for a case study or demo,I just created an account. Where should I start? Is there an onboarding guide?,Scheduled 30-minute demo. Sent relevant case study PDF post-call.,14,Cloud Dashboard,Oracle,English,USA,Major,general,Customer information request,Answer customer inquiry using the official knowledge base.,3.0,"Customer: I just created an account. Where should I start? Is there an onboarding guide?
Support: Scheduled 30-minute demo. Sent relevant case study PDF post-call."
TK-000072,2026-03-09 03:31:01,2026-03-11 12:31:01,social_media,AGT-005,general,low,resolved,General inquiry about your service,What are your customer support hours and response time commitments?,Forwarded to partnerships team. Partner program brochure sent.,10,Web Platform,Google,Arabic,UK,Major,general,Customer information request,Answer customer inquiry using the official knowledge base.,5.0,"Customer: What are your customer support hours and response time commitments?
Support: Forwarded to partnerships team. Partner program brochure sent."
TK-000039,2026-06-25 18:27:50,,chat,AGT-004,product,low,open,Suggestion to improve custom reports,We want to integrate with HubSpot. Can you confirm compatibility with your API v1.4.6?,,14,Cloud Dashboard,IBM,English,Saudi Arabia,Critical,product,Missing documentation,Provide product documentation and user guide.,,"Customer: We want to integrate with HubSpot. Can you confirm compatibility with your API v1.4.6?
Support: Issue is under investigation."
TK-000983,2026-02-10 15:30:08,2026-02-13 06:30:08,social_media,AGT-003,billing,high,resolved,Refund not received after 11 days,My account shows two identical charges of $463.56 on the same date. I need a refund for the duplicate.,Subscription cancellation confirmed. Refund processed for the extra billing cycle.,19,Web Platform,Cisco,English,Egypt,Minor,billing,Incorrect billing configuration,"Verify invoice, compare billing history, process refund if needed.",3.0,"Customer: My account shows two identical charges of $463.56 on the same date. I need a refund for the duplicate.
Support: Subscription cancellation confirmed. Refund processed for the extra billing cycle."
TK-000972,2026-01-08 12:51:24,2026-01-11 08:51:24,email,AGT-001,billing,low,resolved,Tax exemption certificate not processed,I upgraded my plan but the old price is still showing on invoice #58997. The new rate should be $424.37/month.,Verified the charge discrepancy. Issued a credit of $68.4 to the account. Customer notified.,20,Web Platform,Cisco,Arabic,UK,Major,billing,Incorrect billing configuration,"Verify invoice, compare billing history, process refund if needed.",5.0,"Customer: I upgraded my plan but the old price is still showing on invoice #58997. The new rate should be $424.37/month.
Support: Verified the charge discrepancy. Issued a credit of $68.4 to the account. Customer notified."
TK-000868,2026-01-31 05:03:57,,email,AGT-016,technical,high,in_progress,API rate limit exceeded unexpectedly,OTP for 2FA is not arriving via SMS or email. Tested with multiple numbers. Account: fishertina@example.org.,,16,Payment API,Intel,Arabic,USA,Minor,technical,Software bug or infrastructure issue,"Restart service, collect logs, investigate server health, deploy hotfix if required.",,"Customer: OTP for 2FA is not arriving via SMS or email. Tested with multiple numbers. Account: fishertina@example.org.
Support: Issue is under investigation."
TK-000145,2026-04-05 06:13:09,2026-04-05 18:13:09,chat,AGT-014,account,high,resolved,Request to merge two accounts,The password reset email is not arriving at john70@example.com. I have checked spam. Please help me reset manually.,Found invite in spam filter configuration list. Whitelisted domain. Resent invite successfully.,18,CRM System,Intel,Arabic,UK,Major,account,Authentication failure,"Verify customer identity, reset credentials, unlock account.",5.0,"Customer: The password reset email is not arriving at john70@example.com. I have checked spam. Please help me reset manually.
Support: Found invite in spam filter configuration list. Whitelisted domain. Resent invite successfully."
TK-000336,2026-04-03 22:13:04,2026-04-06 21:13:04,chat,AGT-004,product,low,resolved,Suggestion to improve SSO login,It would be great if you could add dark mode to the product. This would save our team a lot of time.,Confirmed compatibility. Shared integration guide and API credentials needed.,22,Desktop Client,Intel,Arabic,Germany,Critical,product,Missing documentation,Provide product documentation and user guide.,5.0,"Customer: It would be great if you could add dark mode to the product. This would save our team a lot of time.
Support: Confirmed compatibility. Shared integration guide and API credentials needed."
TK-000549,2026-01-07 01:04:42,2026-01-07 09:04:42,social_media,AGT-011,shipping,low,resolved,Order #45536 not delivered after 12 days,The tracking for order #89690 has been stuck on 'In Transit' for 27 days with no updates.,Damage claim filed with carrier. Replacement order created and shipped. Photo evidence retained.,17,Mobile App,Amazon,Arabic,Egypt,Critical,shipping,Courier delay,"Track shipment, contact courier, arrange replacement if necessary.",4.0,"Customer: The tracking for order #89690 has been stuck on 'In Transit' for 27 days with no updates.
Support: Damage claim filed with carrier. Replacement order created and shipped. Photo evidence retained."
